"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.003051760E-1,6.340942383E-1,5.503540039E-1,9.466003418E0,9.503167143E0
5.026245120E-1,1.098312378E0,6.580200195E-1,9.162124634E0,9.251151725E0
5.049743650E-1,1.727615356E0,8.949127197E-1,8.702697754E0,8.917537317E0
5.073242190E-1,1.473983765E0,7.944183350E-1,8.827117920E0,8.984527778E0
5.096435550E-1,1.031311035E0,5.886383057E-1,9.171691895E0,9.248244683E0
5.119934080E-1,7.010955811E-1,3.732757568E-1,9.525833130E0,9.558889403E0
5.143127440E-1,4.857482910E-1,1.986083984E-1,9.748352051E0,9.762467127E0
5.166625980E-1,3.086700439E-1,6.700134277E-2,9.750747681E0,9.755862171E0
5.190124510E-1,2.081756592E-1,4.785156250E-2,9.638290405E0,9.640657074E0
5.213317870E-1,1.698913574E-1,4.785156250E-2,9.521041870E0,9.522677729E0
5.236816410E-1,1.459655762E-1,4.785156250E-2,9.554534912E0,9.555769624E0
5.260009770E-1,1.244201660E-1,5.503845215E-2,9.695724487E0,9.696678965E0
5.283508300E-1,5.503845215E-2,5.981445312E-2,9.841674805E0,9.842010463E0
5.307006840E-1,5.503845215E-2,9.571838379E-2,9.944564819E0,9.945177760E0
5.330200200E-1,4.785156250E-2,1.028900146E-1,1.003549194E1,1.003613345E1
5.353698730E-1,-7.177734375E-2,7.896423340E-2,1.008335876E1,1.008392341E1
5.377197270E-1,-9.571838379E-2,8.375549316E-2,1.009771729E1,1.009851828E1
5.400390630E-1,-9.092712402E-2,1.148529053E-1,1.007617188E1,1.007723665E1
5.423889160E-1,-7.177734375E-2,1.363983154E-1,1.004985046E1,1.005103233E1
5.447082520E-1,-1.196289062E-2,1.770629883E-1,1.003071594E1,1.003228572E1
5.470581060E-1,2.392578125E-2,2.153472900E-1,1.002114868E1,1.002349080E1
5.494079590E-1,4.785156250E-2,2.512512207E-1,1.004507446E1,1.004833011E1
5.517578130E-1,5.503845215E-2,2.560272217E-1,1.003071594E1,1.003413382E1
5.541076660E-1,9.092712402E-2,2.416687012E-1,1.001156616E1,1.001489533E1
5.564270020E-1,9.092712402E-2,2.033843994E-1,9.973281860E0,9.975769846E0
5.587768560E-1,1.196441650E-1,1.770629883E-1,9.961318970E0,9.963610874E0
5.611267090E-1,1.172485352E-1,1.555328369E-1,9.942184448E0,9.944092180E0
5.634460450E-1,1.028900146E-1,1.220397949E-1,9.923034668E0,9.924318470E0
5.657958990E-1,1.172485352E-1,1.004943848E-1,9.884750366E0,9.885956511E0
5.681152350E-1,6.628112793E-1,3.517456055E-1,9.585647583E0,9.614971833E0
